"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1009","starts completely logged out","webkit","2026-07-08","passed","2026-07-08","GOOD - overriding storage state per describe block","isolation.spec.js","",""
"","1494","has title","webkit","2026-07-08","passed","2026-07-08","","example.spec.js","",""
"","30019","measure checkout flow performance","Mobile Chrome","2026-07-08","broken","2026-07-08","","performance.spec.js","",""
"","1940","explore more assertions","firefox","2026-07-08","passed","2026-07-08","","inventory.spec.js","",""
"","418","use keyboard to fill form and submit","chromium","2026-07-08","passed","2026-07-08","","keyboard.spec.js","",""
"","803","wait for network request to complete","Mobile Chrome","2026-07-08","passed","2026-07-08","","waiting.spec.js","",""
"","1261","mock an empty response","firefox","2026-07-08","passed","2026-07-08","","mocking.spec.js","",""
"","1522","invalid login shows error @regression","webkit","2026-07-08","passed","2026-07-08","","tagged.spec.js","",""
"","957","set a cookie manually","Mobile Safari","2026-07-08","passed","2026-07-08","","storage.spec.js","",""
"","3758","set different locations and verify","Mobile Safari","2026-07-08","passed","2026-07-08","","geolocation.spec.js","",""
"","817","login page works on mobile","webkit","2026-07-08","passed","2026-07-08","","mobile.spec.js","",""
"","696","generate PDF from checkout page","chromium","2026-07-08","passed","2026-07-08","","pdf.spec.js","",""
"","2162","test C - add multiple items","firefox","2026-07-08","passed","2026-07-08","GOOD - fully isolated tests","isolation.spec.js","",""
"","558","explore more assertions","chromium","2026-07-08","passed","2026-07-08","","inventory.spec.js","",""
"","1107","can login on mobile","webkit","2026-07-08","passed","2026-07-08","","mobile.spec.js","",""
"","7198","verify iframe editor is read-only","firefox","2026-07-08","passed","2026-07-08","","iframe.spec.js","",""
"","237","POST request - create a new post","webkit","2026-07-08","passed","2026-07-08","","api.spec.js","",""
"","1233","products are visible on mobile","firefox","2026-07-08","passed","2026-07-08","","mobile.spec.js","",""
"","6504","upload a file","Mobile Safari","2026-07-08","passed","2026-07-08","","iframe.spec.js","",""
"","2423","login page has no accessibility violations","webkit","2026-07-08","passed","2026-07-08","","accessibility.spec.js","",""
"","356","add to cart works @regression","chromium","2026-07-08","passed","2026-07-08","","tagged.spec.js","",""
"","1203","automatic waiting - built into Playwright","webkit","2026-07-08","passed","2026-07-08","","waiting.spec.js","",""
"","3269","BAD practice - hardcoded wait (never do this)","Mobile Safari","2026-07-08","passed","2026-07-08","","waiting.spec.js","",""
"","445","hold shift and click","chromium","2026-07-08","passed","2026-07-08","","keyboard.spec.js","",""
"","1524","login attempt with username: ""wrong_user""","webkit","2026-07-08","passed","2026-07-08","","login.spec.js","",""
"","1545","step 2 - depends on step 1 having run first","Mobile Safari","2026-07-08","passed","2026-07-08","BAD - tests that share state","isolation.spec.js","",""
"","3199","open a new tab programmatically","chromium","2026-07-08","passed","2026-07-08","","multitab.spec.js","",""
"","382","GET request - fetch a list of posts","Mobile Safari","2026-07-08","passed","2026-07-08","","api.spec.js","",""
"","364","select all and clear text","chromium","2026-07-08","passed","2026-07-08","","keyboard.spec.js","",""
"","5293","products are visible on mobile","Mobile Chrome","2026-07-08","failed","2026-07-08","","mobile.spec.js","",""
"","483","cart starts empty","Mobile Chrome","2026-07-08","passed","2026-07-08","","inventory.spec.js","",""
"","924","test C - add multiple items","Mobile Chrome","2026-07-08","passed","2026-07-08","GOOD - fully isolated tests","isolation.spec.js","",""
"","348","login attempt with username: """"","chromium","2026-07-08","passed","2026-07-08","","login.spec.js","",""
"","510","measure time to interact","Mobile Chrome","2026-07-08","passed","2026-07-08","","performance.spec.js","",""
"","697","intercept and modify a request","firefox","2026-07-08","passed","2026-07-08","","network.spec.js","",""
"","3276","handle a new tab opening","chromium","2026-07-08","passed","2026-07-08","","multitab.spec.js","",""
"","3298","upload a file","Mobile Chrome","2026-07-08","passed","2026-07-08","","iframe.spec.js","",""
"","2012","has title","Mobile Safari","2026-07-08","passed","2026-07-08","","example.spec.js","",""
"","1599","read localStorage","webkit","2026-07-08","passed","2026-07-08","","storage.spec.js","",""
"","2624","type using keyboard","webkit","2026-07-08","passed","2026-07-08","","keyboard.spec.js","",""
"","1148","valid login works @smoke @regression","webkit","2026-07-08","passed","2026-07-08","","tagged.spec.js","",""
"","1315","login using environment variables","firefox","2026-07-08","passed","2026-07-08","","env-demo.spec.js","",""
"","30025","right click an element","Mobile Safari","2026-07-08","broken","2026-07-08","","keyboard.spec.js","",""
"","1679","login page has no accessibility violations","Mobile Safari","2026-07-08","passed","2026-07-08","","accessibility.spec.js","",""
"","344","delete a cookie","chromium","2026-07-08","passed","2026-07-08","","storage.spec.js","",""
"","937","intercept and modify a request","Mobile Safari","2026-07-08","passed","2026-07-08","","network.spec.js","",""
"","509","login with invalid credentials","chromium","2026-07-08","passed","2026-07-08","","myfirst.spec.js","",""
"","1249","test with individual retry","firefox","2026-07-08","passed","2026-07-08","","retry.spec.js","",""
"","3299","BAD practice - hardcoded wait (never do this)","firefox","2026-07-08","passed","2026-07-08","","waiting.spec.js","",""
"","1314","step 1 - add item to cart","firefox","2026-07-08","passed","2026-07-08","BAD - tests that share state","isolation.spec.js","",""
"","1334","add to cart using fixtures","Mobile Safari","2026-07-08","passed","2026-07-08","","fixtures-demo.spec.js","",""
"","3076","handle a JavaScript alert","chromium","2026-07-08","passed","2026-07-08","","dropdown.spec.js","",""
"","2326","read cookies from the page","firefox","2026-07-08","passed","2026-07-08","","storage.spec.js","",""
"","2169","check specific accessibility rules only","webkit","2026-07-08","passed","2026-07-08","","accessibility.spec.js","",""
"","1306","test with individual retry","Mobile Safari","2026-07-08","passed","2026-07-08","","retry.spec.js","",""
"","624","add to cart using fixtures","Mobile Chrome","2026-07-08","passed","2026-07-08","","fixtures-demo.spec.js","",""
"","928","deny geolocation permission","firefox","2026-07-08","passed","2026-07-08","","geolocation.spec.js","",""
"","31","fetch posts API @api","firefox","2026-07-08","passed","2026-07-08","","tagged.spec.js","",""
"","1109","login with empty credentials","webkit","2026-07-08","passed","2026-07-08","","myfirst.spec.js","",""
"","1603","right click an element","firefox","2026-07-08","passed","2026-07-08","","keyboard.spec.js","",""
"","398","wait for element to be visible","chromium","2026-07-08","passed","2026-07-08","","waiting.spec.js","",""
"","30027","measure checkout flow performance","Mobile Safari","2026-07-08","broken","2026-07-08","","performance.spec.js","",""
"","3436","login page has no accessibility violations","firefox","2026-07-08","passed","2026-07-08","","accessibility.spec.js","",""
"","360","set a fake location","chromium","2026-07-08","passed","2026-07-08","","geolocation.spec.js","",""
"","1287","set localStorage value","Mobile Safari","2026-07-08","passed","2026-07-08","","storage.spec.js","",""
"","240","POST request - create a new post","chromium","2026-07-08","passed","2026-07-08","","api.spec.js","",""
"","389","GOOD practice - wait for URL to change","chromium","2026-07-08","passed","2026-07-08","","waiting.spec.js","",""
"","1221","hold shift and click","firefox","2026-07-08","passed","2026-07-08","","keyboard.spec.js","",""
"","406","cart starts empty","chromium","2026-07-08","passed","2026-07-08","","inventory.spec.js","",""
"","5396","block images and css to load even faster","Mobile Chrome","2026-07-08","failed","2026-07-08","","network.spec.js","",""
"","5297","handle checkboxes","webkit","2026-07-08","passed","2026-07-08","","dropdown.spec.js","",""
"","1681","login page visual check","webkit","2026-07-08","failed","2026-07-08","","visual.spec.js","",""
"","567","verify PDF file is saved correctly","webkit","2026-07-08","skipped","2026-07-08","","pdf.spec.js","",""
"","1223","access inventory page without logging in again","webkit","2026-07-08","passed","2026-07-08","","auth-reuse.spec.js","",""
"","174","mock an empty response","chromium","2026-07-08","passed","2026-07-08","","mocking.spec.js","",""
"","1168","mock a server error response","firefox","2026-07-08","passed","2026-07-08","","mocking.spec.js","",""
"","5440","compare load time with and without images","Mobile Chrome","2026-07-08","failed","2026-07-08","","network.spec.js","",""
"","1479","test A - add first item to cart","webkit","2026-07-08","passed","2026-07-08","GOOD - fully isolated tests","isolation.spec.js","",""
"","261","deny geolocation permission","Mobile Chrome","2026-07-08","passed","2026-07-08","","geolocation.spec.js","",""
"","1216","inventory page has no accessibility violations","chromium","2026-07-08","passed","2026-07-08","","accessibility.spec.js","",""
"","401","login attempt with username: ""wrong_user""","Mobile Chrome","2026-07-08","passed","2026-07-08","","login.spec.js","",""
"","0","intentionally failing test to see auto-screenshot","chromium","2026-07-08","skipped","2026-07-08","","screenshots.spec.js","",""
"","1951","wait for element to be visible","Mobile Safari","2026-07-08","passed","2026-07-08","","waiting.spec.js","",""
"","348","set localStorage value","Mobile Chrome","2026-07-08","passed","2026-07-08","","storage.spec.js","",""
"","896","mock a successful API response","Mobile Safari","2026-07-08","passed","2026-07-08","","mocking.spec.js","",""
"","2873","get started link","Mobile Safari","2026-07-08","passed","2026-07-08","","example.spec.js","",""
"","5384","explore different locators","firefox","2026-07-08","passed","2026-07-08","","inventory.spec.js","",""
"","1070","login attempt with username: ""wrong_user""","Mobile Safari","2026-07-08","passed","2026-07-08","","login.spec.js","",""
"","27","GET request - fetch a single post","Mobile Safari","2026-07-08","passed","2026-07-08","","api.spec.js","",""
"","673","starts completely logged out","Mobile Safari","2026-07-08","passed","2026-07-08","GOOD - overriding storage state per describe block","isolation.spec.js","",""
"","2321","full checkout flow with POM","webkit","2026-07-08","passed","2026-07-08","","checkout.spec.js","",""
"","804","get started link","Mobile Chrome","2026-07-08","passed","2026-07-08","","example.spec.js","",""
"","1247","hover over an element","webkit","2026-07-08","passed","2026-07-08","","keyboard.spec.js","",""
"","4099","drag using raw mouse events","firefox","2026-07-08","passed","2026-07-08","","dragdrop.spec.js","",""
"","2203","measure time to interact","firefox","2026-07-08","passed","2026-07-08","","performance.spec.js","",""
"","408","login with valid credentials","Mobile Chrome","2026-07-08","passed","2026-07-08","","myfirst.spec.js","",""
"","1204","invalid login shows error @regression","Mobile Safari","2026-07-08","passed","2026-07-08","","tagged.spec.js","",""
"","1354","login page has no accessibility violations","Mobile Chrome","2026-07-08","passed","2026-07-08","","accessibility.spec.js","",""
"","1196","test D - cart still starts empty","Mobile Safari","2026-07-08","passed","2026-07-08","GOOD - fully isolated tests","isolation.spec.js","",""
"","1220","compare performance before and after login","Mobile Chrome","2026-07-08","passed","2026-07-08","","performance.spec.js","",""
"","1173","set localStorage value","webkit","2026-07-08","passed","2026-07-08","","storage.spec.js","",""
"","2056","can add item to cart","Mobile Safari","2026-07-08","passed","2026-07-08","","inventory.spec.js","",""
"","0","flaky test simulation","firefox","2026-07-08","skipped","2026-07-08","","retry.spec.js","",""
"","2135","get started link","webkit","2026-07-08","passed","2026-07-08","","example.spec.js","",""
"","1253","can add item to cart","firefox","2026-07-08","passed","2026-07-08","","inventory.spec.js","",""
"","859","set a fake location","Mobile Safari","2026-07-08","passed","2026-07-08","","geolocation.spec.js","",""
"","1054","clear localStorage","Mobile Safari","2026-07-08","passed","2026-07-08","","storage.spec.js","",""
"","3279","drag using raw mouse events","Mobile Chrome","2026-07-08","passed","2026-07-08","","dragdrop.spec.js","",""
"","380","select all and clear text","Mobile Chrome","2026-07-08","passed","2026-07-08","","keyboard.spec.js","",""
"","559","test D - cart still starts empty","chromium","2026-07-08","passed","2026-07-08","GOOD - fully isolated tests","isolation.spec.js","",""
"","6050","open a new tab programmatically","webkit","2026-07-08","passed","2026-07-08","","multitab.spec.js","",""
"","1937","wait for network request to complete","webkit","2026-07-08","passed","2026-07-08","","waiting.spec.js","",""
"","1204","delete a cookie","firefox","2026-07-08","passed","2026-07-08","","storage.spec.js","",""
"","2","grant camera and microphone permissions","Mobile Safari","2026-07-08","skipped","2026-07-08","","geolocation.spec.js","",""
"","405","product page shows items","Mobile Chrome","2026-07-08","passed","2026-07-08","","inventory.spec.js","",""
"","1112","generate a PDF from a page","firefox","2026-07-08","skipped","2026-07-08","","pdf.spec.js","",""
"","1","flaky test simulation","webkit","2026-07-08","skipped","2026-07-08","","retry.spec.js","",""
"","30042","wait for a function to return true","Mobile Safari","2026-07-08","broken","2026-07-08","","waiting.spec.js","",""
"","1498","step 2 - depends on step 1 having run first","firefox","2026-07-08","passed","2026-07-08","BAD - tests that share state","isolation.spec.js","",""
"","30022","hover over an element","Mobile Safari","2026-07-08","broken","2026-07-08","","keyboard.spec.js","",""
"","1256","inventory page has no accessibility violations","Mobile Chrome","2026-07-08","passed","2026-07-08","","accessibility.spec.js","",""
"","0","intentionally failing test to see auto-screenshot","firefox","2026-07-08","skipped","2026-07-08","","screenshots.spec.js","",""
"","391","grant camera and microphone permissions","chromium","2026-07-08","passed","2026-07-08","","geolocation.spec.js","",""
"","851","deny geolocation permission","webkit","2026-07-08","passed","2026-07-08","","geolocation.spec.js","",""
"","6434","open a new tab programmatically","Mobile Safari","2026-07-08","passed","2026-07-08","","multitab.spec.js","",""
"","396","GET request - fetch a list of posts","firefox","2026-07-08","passed","2026-07-08","","api.spec.js","",""
"","0","intentionally failing test to see auto-screenshot","webkit","2026-07-08","skipped","2026-07-08","","screenshots.spec.js","",""
"","2137","mock a slow response","chromium","2026-07-08","passed","2026-07-08","","mocking.spec.js","",""
"","5210","drag using mouse steps (more reliable)","webkit","2026-07-08","passed","2026-07-08","","dragdrop.spec.js","",""
"","1910","get started link","firefox","2026-07-08","passed","2026-07-08","","example.spec.js","",""
"","1073","cart starts empty","webkit","2026-07-08","passed","2026-07-08","","inventory.spec.js","",""
"","838","login page loads @smoke","Mobile Safari","2026-07-08","passed","2026-07-08","","tagged.spec.js","",""
"","519","login with valid credentials","chromium","2026-07-08","passed","2026-07-08","","myfirst.spec.js","",""
"","351","take a screenshot manually","chromium","2026-07-08","passed","2026-07-08","","screenshots.spec.js","",""
"","829","mock a server error response","webkit","2026-07-08","passed","2026-07-08","","mocking.spec.js","",""
"","493","step 1 - add item to cart","chromium","2026-07-08","passed","2026-07-08","BAD - tests that share state","isolation.spec.js","",""
"","787","login page loads @smoke","webkit","2026-07-08","passed","2026-07-08","","tagged.spec.js","",""
"","775","intercept and modify a request","webkit","2026-07-08","passed","2026-07-08","","network.spec.js","",""
"","426","valid login works @smoke @regression","Mobile Chrome","2026-07-08","passed","2026-07-08","","tagged.spec.js","",""
"","773","check specific accessibility rules only","Mobile Chrome","2026-07-08","passed","2026-07-08","","accessibility.spec.js","",""
"","1272","test B - cart starts empty regardless of test A","webkit","2026-07-08","passed","2026-07-08","GOOD - fully isolated tests","isolation.spec.js","",""
"","1232","starts completely logged out","firefox","2026-07-08","passed","2026-07-08","GOOD - overriding storage state per describe block","isolation.spec.js","",""
"","1905","type using keyboard","chromium","2026-07-08","passed","2026-07-08","","keyboard.spec.js","",""
"","673","measure checkout flow performance","chromium","2026-07-08","passed","2026-07-08","","performance.spec.js","",""
"","709","verify PDF file is saved correctly","Mobile Safari","2026-07-08","skipped","2026-07-08","","pdf.spec.js","",""
"","30022","step 1 - add item to cart","Mobile Safari","2026-07-08","broken","2026-07-08","BAD - tests that share state","isolation.spec.js","",""
"","1908","measure checkout flow performance","webkit","2026-07-08","passed","2026-07-08","","performance.spec.js","",""
"","611","mock an empty response","webkit","2026-07-08","passed","2026-07-08","","mocking.spec.js","",""
"","8879","type using keyboard","firefox","2026-07-08","passed","2026-07-08","","keyboard.spec.js","",""
"","326","keyboard shortcuts","chromium","2026-07-08","passed","2026-07-08","","keyboard.spec.js","",""
"","1","inventory page visual check","Mobile Safari","2026-07-08","skipped","2026-07-08","","visual.spec.js","",""
"","3019","drag and drop an element","Mobile Chrome","2026-07-08","passed","2026-07-08","","dragdrop.spec.js","",""
"","2844","mock a slow response","firefox","2026-07-08","passed","2026-07-08","","mocking.spec.js","",""
"","1132","right click an element","webkit","2026-07-08","passed","2026-07-08","","keyboard.spec.js","",""
"","2173","compare performance before and after login","webkit","2026-07-08","passed","2026-07-08","","performance.spec.js","",""
"","491","step 1 - add item to cart","Mobile Chrome","2026-07-08","passed","2026-07-08","BAD - tests that share state","isolation.spec.js","",""
"","1912","type using keyboard","Mobile Chrome","2026-07-08","passed","2026-07-08","","keyboard.spec.js","",""
"","1182","GOOD practice - wait for URL to change","Mobile Safari","2026-07-08","passed","2026-07-08","","waiting.spec.js","",""
"","235","POST request - create a new post","Mobile Chrome","2026-07-08","passed","2026-07-08","","api.spec.js","",""
"","952","clear localStorage","webkit","2026-07-08","passed","2026-07-08","","storage.spec.js","",""
"","366","generate PDF with custom options","Mobile Chrome","2026-07-08","passed","2026-07-08","","pdf.spec.js","",""
"","922","login page loads @smoke","firefox","2026-07-08","passed","2026-07-08","","tagged.spec.js","",""
"","1156","block images to speed up page load","firefox","2026-07-08","passed","2026-07-08","","network.spec.js","",""
"","3","grant camera and microphone permissions","webkit","2026-07-08","skipped","2026-07-08","","geolocation.spec.js","",""
"","1630","hold shift and click","webkit","2026-07-08","passed","2026-07-08","","keyboard.spec.js","",""
"","950","login using fixtures","chromium","2026-07-08","passed","2026-07-08","","fixtures-demo.spec.js","",""
"","934","change location mid-test","Mobile Safari","2026-07-08","passed","2026-07-08","","geolocation.spec.js","",""
"","456","login attempt with username: ""standard_user""","chromium","2026-07-08","passed","2026-07-08","","login.spec.js","",""
"","1002","full checkout flow with POM","Mobile Chrome","2026-07-08","passed","2026-07-08","","checkout.spec.js","",""
"","315","starts completely logged out","Mobile Chrome","2026-07-08","passed","2026-07-08","GOOD - overriding storage state per describe block","isolation.spec.js","",""
"","1340","test D - cart still starts empty","webkit","2026-07-08","passed","2026-07-08","GOOD - fully isolated tests","isolation.spec.js","",""
"","375","verify PDF file is saved correctly","chromium","2026-07-08","passed","2026-07-08","","pdf.spec.js","",""
"","461","login attempt with username: ""wrong_user""","chromium","2026-07-08","passed","2026-07-08","","login.spec.js","",""
"","801","generate PDF from checkout page","firefox","2026-07-08","skipped","2026-07-08","","pdf.spec.js","",""
"","5840","products are visible on mobile","Mobile Safari","2026-07-08","failed","2026-07-08","","mobile.spec.js","",""
"","1800","cart starts empty","firefox","2026-07-08","passed","2026-07-08","","inventory.spec.js","",""
"","1980","test C - add multiple items","webkit","2026-07-08","passed","2026-07-08","GOOD - fully isolated tests","isolation.spec.js","",""
"","5550","switch between multiple tabs","firefox","2026-07-08","passed","2026-07-08","","multitab.spec.js","",""
"","5339","drag and drop an element","webkit","2026-07-08","passed","2026-07-08","","dragdrop.spec.js","",""
"","406","right click an element","chromium","2026-07-08","passed","2026-07-08","","keyboard.spec.js","",""
"","584","wait for element to be visible","Mobile Chrome","2026-07-08","passed","2026-07-08","","waiting.spec.js","",""
"","1","login page visual check","Mobile Chrome","2026-07-08","skipped","2026-07-08","","visual.spec.js","",""
"","321","double click an element","chromium","2026-07-08","passed","2026-07-08","","keyboard.spec.js","",""
"","7788","select a dropdown option","firefox","2026-07-08","passed","2026-07-08","","dropdown.spec.js","",""
"","1072","hover over an element","firefox","2026-07-08","passed","2026-07-08","","keyboard.spec.js","",""
"","1801","wait for element to be visible","firefox","2026-07-08","passed","2026-07-08","","waiting.spec.js","",""
"","30027","add to cart works @regression","Mobile Safari","2026-07-08","broken","2026-07-08","","tagged.spec.js","",""
"","1947","read localStorage","firefox","2026-07-08","passed","2026-07-08","","storage.spec.js","",""
"","1058","cart starts empty","Mobile Safari","2026-07-08","passed","2026-07-08","","inventory.spec.js","",""
"","3501","drag and drop an element","chromium","2026-07-08","passed","2026-07-08","","dragdrop.spec.js","",""
"","765","add to cart without logging in again","Mobile Chrome","2026-07-08","passed","2026-07-08","","auth-reuse.spec.js","",""
"","1294","double click an element","Mobile Safari","2026-07-08","passed","2026-07-08","","keyboard.spec.js","",""
"","642","mock a server error response","Mobile Safari","2026-07-08","passed","2026-07-08","","mocking.spec.js","",""
"","586","generate PDF with custom options","webkit","2026-07-08","skipped","2026-07-08","","pdf.spec.js","",""
"","1285","inventory page visual check","firefox","2026-07-08","passed","2026-07-08","","visual.spec.js","",""
"","3293","BAD practice - hardcoded wait (never do this)","webkit","2026-07-08","passed","2026-07-08","","waiting.spec.js","",""
"","1215","add to cart without logging in again","firefox","2026-07-08","passed","2026-07-08","","auth-reuse.spec.js","",""
"","1240","mock an empty response","Mobile Safari","2026-07-08","passed","2026-07-08","","mocking.spec.js","",""
"","768","test D - cart still starts empty","Mobile Chrome","2026-07-08","passed","2026-07-08","GOOD - fully isolated tests","isolation.spec.js","",""
"","2592","type using keyboard","Mobile Safari","2026-07-08","passed","2026-07-08","","keyboard.spec.js","",""
"","30020","right click an element","Mobile Chrome","2026-07-08","broken","2026-07-08","","keyboard.spec.js","",""
"","871","set a cookie manually","webkit","2026-07-08","passed","2026-07-08","","storage.spec.js","",""
"","487","GOOD practice - wait for URL to change","Mobile Chrome","2026-07-08","passed","2026-07-08","","waiting.spec.js","",""
"","945","has title","Mobile Chrome","2026-07-08","passed","2026-07-08","","example.spec.js","",""
"","481","hover over an element","chromium","2026-07-08","passed","2026-07-08","","keyboard.spec.js","",""
"","5092","select a dropdown option","Mobile Safari","2026-07-08","passed","2026-07-08","","dropdown.spec.js","",""
"","2","grant camera and microphone permissions","firefox","2026-07-08","skipped","2026-07-08","","geolocation.spec.js","",""
"","1041","login attempt with username: """"","Mobile Safari","2026-07-08","passed","2026-07-08","","login.spec.js","",""
"","5561","switch between multiple tabs","Mobile Safari","2026-07-08","passed","2026-07-08","","multitab.spec.js","",""
"","529","read localStorage","chromium","2026-07-08","passed","2026-07-08","","storage.spec.js","",""
"","298","test with individual retry","chromium","2026-07-08","passed","2026-07-08","","retry.spec.js","",""
"","557","mock a server error response","chromium","2026-07-08","passed","2026-07-08","","mocking.spec.js","",""
"","949","block images to speed up page load","webkit","2026-07-08","passed","2026-07-08","","network.spec.js","",""
"","549","explore different locators","Mobile Chrome","2026-07-08","passed","2026-07-08","","inventory.spec.js","",""
"","1196","take a screenshot manually","Mobile Safari","2026-07-08","passed","2026-07-08","","screenshots.spec.js","",""
"","1270","verify PDF file is saved correctly","firefox","2026-07-08","skipped","2026-07-08","","pdf.spec.js","",""
"","1010","double click an element","webkit","2026-07-08","passed","2026-07-08","","keyboard.spec.js","",""
"","759","test C - add multiple items","chromium","2026-07-08","passed","2026-07-08","GOOD - fully isolated tests","isolation.spec.js","",""
"","819","change location mid-test","webkit","2026-07-08","passed","2026-07-08","","geolocation.spec.js","",""
"","368","verify PDF file is saved correctly","Mobile Chrome","2026-07-08","failed","2026-07-08","","pdf.spec.js","",""
"","260","deny geolocation permission","chromium","2026-07-08","passed","2026-07-08","","geolocation.spec.js","",""
"","2489","login with valid credentials","firefox","2026-07-08","passed","2026-07-08","","myfirst.spec.js","",""
"","790","inventory page visual check","chromium","2026-07-08","passed","2026-07-08","","visual.spec.js","",""
"","1084","wait for an element to appear","firefox","2026-07-08","passed","2026-07-08","","waiting.spec.js","",""
"","401","access inventory page without logging in again","Mobile Chrome","2026-07-08","passed","2026-07-08","","auth-reuse.spec.js","",""
"","1502","login page works on mobile","Mobile Safari","2026-07-08","passed","2026-07-08","","mobile.spec.js","",""
"","242","step 2 - depends on step 1 having run first","Mobile Chrome","2026-07-08","passed","2026-07-08","BAD - tests that share state","isolation.spec.js","",""
"","1989","GOOD practice - wait for URL to change","firefox","2026-07-08","passed","2026-07-08","","waiting.spec.js","",""
"","12905","open a new tab programmatically","firefox","2026-07-08","passed","2026-07-08","","multitab.spec.js","",""
"","288","use performance API to get detailed metrics","chromium","2026-07-08","passed","2026-07-08","","performance.spec.js","",""
"","5278","handle a JavaScript alert","webkit","2026-07-08","passed","2026-07-08","","dropdown.spec.js","",""
"","3026","handle a JavaScript alert","Mobile Chrome","2026-07-08","passed","2026-07-08","","dropdown.spec.js","",""
"","1","inventory page visual check","Mobile Chrome","2026-07-08","skipped","2026-07-08","","visual.spec.js","",""
"","367","login with invalid credentials","Mobile Chrome","2026-07-08","passed","2026-07-08","","myfirst.spec.js","",""
"","1022","measure time to interact","Mobile Safari","2026-07-08","passed","2026-07-08","","performance.spec.js","",""
"","1270","set different locations and verify","chromium","2026-07-08","passed","2026-07-08","","geolocation.spec.js","",""
"","30037","wait for a function to return true","Mobile Chrome","2026-07-08","broken","2026-07-08","","waiting.spec.js","",""
"","2039","login page works on mobile","firefox","2026-07-08","passed","2026-07-08","","mobile.spec.js","",""
"","6430","upload a file","webkit","2026-07-08","passed","2026-07-08","","iframe.spec.js","",""
"","311","measure page load time","Mobile Chrome","2026-07-08","passed","2026-07-08","","performance.spec.js","",""
"","210","intercept and modify a request","Mobile Chrome","2026-07-08","passed","2026-07-08","","network.spec.js","",""
"","903","login with empty credentials","Mobile Safari","2026-07-08","passed","2026-07-08","","myfirst.spec.js","",""
"","422","add to cart without logging in again","chromium","2026-07-08","passed","2026-07-08","","auth-reuse.spec.js","",""
"","960","read cookies from the page","Mobile Safari","2026-07-08","passed","2026-07-08","","storage.spec.js","",""
"","9847","generate PDF with custom options","firefox","2026-07-08","skipped","2026-07-08","","pdf.spec.js","",""
"","1228","login attempt with username: ""wrong_user""","firefox","2026-07-08","passed","2026-07-08","","login.spec.js","",""
"","1000","login with invalid credentials","firefox","2026-07-08","passed","2026-07-08","","myfirst.spec.js","",""
"","494","login using environment variables","Mobile Chrome","2026-07-08","passed","2026-07-08","","env-demo.spec.js","",""
"","404","fetch posts API @api","Mobile Safari","2026-07-08","passed","2026-07-08","","tagged.spec.js","",""
"","1073","login using environment variables","Mobile Safari","2026-07-08","passed","2026-07-08","","env-demo.spec.js","",""
"","889","full checkout flow with POM","chromium","2026-07-08","passed","2026-07-08","","checkout.spec.js","",""
"","833","mock a successful API response","webkit","2026-07-08","passed","2026-07-08","","mocking.spec.js","",""
"","1452","invalid login shows error @regression","firefox","2026-07-08","passed","2026-07-08","","tagged.spec.js","",""
"","806","deny geolocation permission","Mobile Safari","2026-07-08","passed","2026-07-08","","geolocation.spec.js","",""
"","1665","check specific accessibility rules only","firefox","2026-07-08","passed","2026-07-08","","accessibility.spec.js","",""
"","870","use performance API to get detailed metrics","webkit","2026-07-08","passed","2026-07-08","","performance.spec.js","",""
"","1091","wait for a function to return true","webkit","2026-07-08","passed","2026-07-08","","waiting.spec.js","",""
"","390","login attempt with username: ""locked_out_user""","Mobile Chrome","2026-07-08","passed","2026-07-08","","login.spec.js","",""
"","1036","use keyboard to fill form and submit","Mobile Safari","2026-07-08","passed","2026-07-08","","keyboard.spec.js","",""
